Feature,Importance
DEP_DELAY_NEW,0.4130875116726117
TAXI_OUT,0.09192494215880265
AIR_TIME,0.08115573660205727
WHEELS_OFF,0.07522011743755619
DAY_OF_MONTH,0.04280138979886136
FLIGHT_TRAFFIC,0.039972536545782755
OP_CARRIER_FL_NUM,0.03738388283435001
DISTANCE,0.030610054934147278
DAY_OF_WEEK,0.027237236040941176
SC_HOUR,0.024172689943180777
MONTH,0.023253882417817527
DEST,0.02243034306246348
DEST_STATE_ABR,0.016744196566959538
YEAR,0.014421551149081472
Southwest Airlines Co.,0.008441739435664584
Summer,0.0042619156728474885
Spring,0.004201231315801116
Winter,0.0041031599247562875
Fall,0.003887043605288359
SkyWest Airlines Inc.,0.0036908793767313846
American Airlines Inc.,0.0033785023122326245
ORIGIN,0.003007808694974185
Early Morning,0.002538059762659907
Evening,0.0024916982909631794
Morning,0.002412451963947215
Afternoon,0.002361252004260656
Midday,0.001985009094115554
Late Night,0.00196657467249233
Delta Air Lines,0.0017169799811434544
United Air Lines Inc.,0.001660454690404612
Frontier Airlines Inc.,0.0015412010718300598
Night,0.0014088752788894365
Alaska Airlines Inc.,0.0010064039325036087
Envoy Air,0.0009083272376998168
Allegiant Air,0.0007506428958138831
Spirit Air Lines,0.0006775139043019468
Mesa Airlines Inc.,0.0005733903244147047
JetBlue Airways,0.000307960334894619
Horizon Air,0.00017171033976572727
Hawaiian Airlines Inc.,0.00013314271698999832
